1	0
2	0
3	1
4	0
5	2
6	0
7	2
8	0
9	0
10	0
11	2
12	2
13	2
14	1
15	1
16	0
17	0
18	2
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	0
27	2
28	0
29	0
30	0
31	2
32	1
33	2
34	0
35	0
36	2
37	0
38	0
39	1
40	0
41	2
42	0
43	1
44	0
45	0
46	0
47	1
48	0
49	0
50	1
51	0
52	0
53	0
54	0
55	2
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	3
66	1
67	0
68	1
69	0
70	1
71	1
72	1
73	0
74	2
75	2
76	1
77	1
78	1
79	0
80	1
81	0
82	1
83	1
84	1
85	1
86	1
87	0
88	1
89	0
90	0
91	0
92	1
93	1
94	1
95	1
96	2
97	1
98	1
99	0
100	2
101	1
102	0
103	2
104	2
105	0
106	2
107	0
108	2
109	2
110	0
111	0
112	2
113	2
114	0
115	2
116	0
117	2
118	2
119	2
120	2
121	2
122	1
123	0
124	1
125	0
126	1
127	2
128	2
